tiempo,frac_inf_acum,frac_inf_act
14472,0.01,0.01
14508,0.01,0.01
14544,0.01,0.01
14580,0.01,0.01
14616,0.01,0.01
14652,0.01,0.01
14688,0.01,0.01
14724,0.01,0.01
14760,0.01,0.01
14796,0.01,0.01
14832,0.01,0.01
14868,0.01,0.01
14904,0.01,0.01
14940,0.01,0.01
14976,0.01,0.01
15012,0.01,0.01
15048,0.01,0.01
15084,0.01,0.01
15120,0.01,0.01
15156,0.01,0.01
15192,0.01,0.01
15228,0.01,0.01
15264,0.01,0.01
15300,0.01,0.01
15336,0.01,0.01
15372,0.01,0.01
15408,0.01,0.01
15444,0.01,0.01
15480,0.01,0.01
15516,0.01,0.01
15552,0.01,0.01
15588,0.01,0.01
15624,0.01,0.01
15660,0.01,0.01
15696,0.01,0.01
15732,0.01,0.01
15768,0.01,0.01
15804,0.01,0.01
15840,0.01,0.01
15876,0.01,0.01
15912,0.01,0.01
15948,0.01,0.01
15984,0.01,0.01
16020,0.01,0.01
16056,0.01,0.01
16092,0.01,0.01
16128,0.01,0.01
16164,0.01,0.01
16200,0.01,0.01
16236,0.01,0.01
16272,0.01,0.01
16308,0.01,0.01
16344,0.01,0.01
16380,0.01,0.01
16416,0.01,0.01
16452,0.01,0.01
16488,0.01,0.01
16524,0.01,0.01
16560,0.01,0.01
16596,0.01,0.01
16632,0.01,0.01
16668,0.01,0.01
16704,0.01,0.01
16740,0.01,0.01
16776,0.01,0.01
16812,0.01,0.01
16848,0.01,0.01
16884,0.01,0.01
16920,0.01,0.01
16956,0.01,0.01
16992,0.01,0.01
17028,0.01,0.01
17064,0.01,0.01
17100,0.01,0.01
17136,0.01,0.01
17172,0.01,0.01
17208,0.01,0.01
17244,0.01,0.01
17280,0.01,0.01
17316,0.01,0.01
17352,0.01,0.01
17388,0.01,0.01
17424,0.01,0.01
17460,0.01,0.01
17496,0.01,0.01
17532,0.01,0.01
17568,0.01,0.01
17604,0.01,0.01
17640,0.01,0.01
17676,0.01,0.01
17712,0.01,0.01
17748,0.01,0.01
17784,0.01,0.01
17820,0.01,0.01
17856,0.01,0.01
17892,0.01,0.01
17928,0.01,0.01
17964,0.01,0.01
18000,0.01,0.01
18036,0.01,0.01
18072,0.01,0.01
18108,0.01,0.01
18144,0.01,0.01
18180,0.01,0.01
18216,0.01,0.01
18252,0.01,0.01
18288,0.01,0.01
18324,0.01,0.01
18360,0.01,0.01
18396,0.01,0.01
18432,0.01,0.01
18468,0.01,0.01
18504,0.01,0.01
18540,0.01,0.01
18576,0.01,0.01
18612,0.01,0.01
18648,0.01,0.01
18684,0.01,0.01
18720,0.01,0.01
18756,0.01,0.01
18792,0.01,0.01
18828,0.01,0.01
18864,0.01,0.01
18900,0.01,0.01
18936,0.01,0.01
18972,0.01,0.01
19008,0.01,0.01
19044,0.01,0.01
19080,0.01,0.01
19116,0.01,0.01
19152,0.01,0.01
19188,0.01,0.01
19224,0.01,0.01
19260,0.01,0.01
19296,0.01,0.01
19332,0.01,0.01
19368,0.01,0.01
19404,0.01,0.01
19440,0.01,0.01
19476,0.01,0.01
19512,0.01,0.01
19548,0.01,0.01
19584,0.01,0.01
19620,0.01,0.01
19656,0.01,0.01
19692,0.01,0.01
19728,0.01,0.01
19764,0.01,0.01
19800,0.01,0.01
19836,0.01,0.01
19872,0.01,0.01
19908,0.01,0.01
19944,0.01,0.01
19980,0.01,0.01
20016,0.01,0.01
20052,0.01,0.01
20088,0.01,0.01
20124,0.01,0.01
20160,0.01,0.01
20196,0.01,0.01
20232,0.01,0.01
20268,0.01,0.01
20304,0.01,0.01
20340,0.01,0.01
20376,0.01,0.01
20412,0.01,0.01
20448,0.01,0.01
20484,0.01,0.01
20520,0.01,0.01
20556,0.01,0.01
20592,0.01,0.01
20628,0.01,0.01
20664,0.01,0.01
20700,0.01,0.01
20736,0.01,0.01
20772,0.01,0.01
20808,0.01,0.01
20844,0.01,0.01
20880,0.01,0.01
20916,0.01,0.01
20952,0.01,0.01
20988,0.01,0.01
21024,0.01,0.01
21060,0.01,0.01
21096,0.01,0.01
21132,0.01,0.01
21168,0.01,0.01
